group_.one,group_.two,session_id,% Sessions,plptopdp,add_to_cart,%Plpconvertion,purchase,product_revenue,tasa_conversion,Ticket Promedio
linea-blanca,electrodomesticos,94881,0.017406,18816,3537,0.19831156922882348,393,20459320,0.003899621631306584,52059.338422391855
tecnologia,marcas,89880,0.016489,9311,684,0.10359368046283934,42,24557540,0.00045616377392078324,584703.3333333334
zapatos,sin_path2,85774,0.015736,13471,1873,0.157052253596661,85,3393743,0.0009560006528784947,39926.388235294115
zapatos,marcas-zapatillas-deportivas,74403,0.01365,9634,844,0.12948402618174,52,2446490,0.0006988965498703009,47047.88461538462
mujer,sin_path2,71650,0.013145,16146,3876,0.2253454291695743,182,5759705,0.0024424284717376133,31646.73076923077
linea-blanca,refrigeracion,68109,0.012495,19888,2412,0.29200252536375515,198,78939950,0.00280432835601756,398686.61616161617
deportes,marcas,65747,0.012062,13420,2118,0.2041157771457253,85,3148328,0.0012624150151337703,37039.15294117647
outlet,outlet-mujer,62400,0.011448,27554,5394,0.4415705128205128,275,3563301,0.004230769230769231,12957.458181818181
outlet,outlet-zapatos-y-zapatillas,61469,0.011277,18280,1875,0.29738567407961736,59,1282188,0.0009272966861344743,21732
ninos,mundo-escolar,60165,0.011038,16558,3683,0.27520983960774537,365,6175895,0.005883819496384941,16920.260273972603
muebles,sin_path2,59372,0.010892,11589,1247,0.19519302027891935,5,2373930,0.00008421478137842754,474786
mujer,ropa-interior,56992,0.010455,24295,7452,0.42628790005614825,547,9455198,0.00893107804604155,17285.553930530165
tecnologia,consolas-videojuegos,51855,0.009513,3997,433,0.07708032012342107,25,6651480,0.0004821135859608524,266059.2
muebles,comedor,49626,0.009104,15564,1519,0.3136259218957804,47,18618300,0.0009067827348567283,396134.0425531915
deportes,mujer,48614,0.008918,23678,7003,0.48706134035463033,590,14461455,0.01053194553009421,24510.9406779661
dormitorio,sin_path2,46303,0.008495,7780,1012,0.168023670172559,23,2494110,0.0004967280737749174,108439.56521739131
decohogar,menaje-cocina,45478,0.008343,10537,2263,0.23169444566603634,96,2659570,0.0019350015392057699,27703.854166666668
electro,audio,44850,0.008228,8643,1182,0.19270903010033444,100,7734931,0.0021850613154960983,77349.31
outlet,outlet-deco,39472,0.007241,11381,3814,0.28833096878800163,90,1687020,0.00215342521280908,18744.666666666668
linea-blanca,lavado-secado,38441,0.007052,10822,2006,0.2815223329257824,232,75650570,0.005801097786217841,326080.0431034483
tecnologia,sin_path2,37277,0.006839,3084,277,0.08273197950478847,8,4144910,0.00021460954475950318,518113.75
belleza,dermocosmetica,37077,0.006802,5307,2101,0.14313455781212073,199,6545853,0.005259325188122017,32893.73366834171
decohogar,marcas,36571,0.006709,8029,1748,0.21954554154931502,56,2992730,0.001531267944546225,53441.607142857145
zapatos,ninos,36545,0.006704,12796,3042,0.3501436585032152,257,7064368,0.006813517581064441,27487.813229571984
electro,marcas,36334,0.006666,2196,110,0.060439257995266144,3,849970,0.00008256729234325976,283323.3333333333
tecnologia,wearables,35506,0.006514,7120,666,0.20052948797386358,33,4404660,0.0008449276178674027,133474.54545454544
belleza,cuidado-personal,32826,0.006022,6514,1075,0.1984402607689027,73,4350281,0.0020106013525863645,59592.890410958906
zapatos,hombre,32206,0.005908,8576,1313,0.2662857852574054,186,8641857,0.005651120909147364,46461.596774193546
hombre,sin_path2,31854,0.005844,7008,1621,0.22000376718779432,141,3780067,0.004395052426696804,26808.98581560284
belleza,maquillaje,31068,0.0057,8799,2986,0.2832174584781769,218,4028059,0.0064696794129007335,18477.33486238532
electro,elige-tu-pulgada,29350,0.005384,6366,1111,0.21689948892674615,144,51528470,0.004701873935264054,357836.59722222225
muebles,outlet-muebles,28756,0.005275,6178,545,0.21484211990541105,3,174970,0.0001043260536931423,58323.333333333336
muebles,marcas,28505,0.005229,3567,263,0.1251359410629714,10,3221350,0.00035081564637782847,322135
dormitorio,camas-plazaje,27938,0.005125,8665,1714,0.31015104875080535,114,33589750,0.004008876798625528,294646.9298245614
dormitorio,muebles,27738,0.005089,9535,1495,0.3437522532266205,64,10313000,0.0023073040594130795,161140.625
deportes,sin_path2,27433,0.005033,2632,240,0.09594284256187803,12,927150,0.0004374293733824226,77262.5
deportes,bicicletas,24882,0.004565,4871,396,0.19576400610883368,30,6469060,0.0012056908608632747,215635.33333333334
hombre,marcas,24644,0.004521,6375,903,0.25868365525077097,123,4797133,0.004828761564681058,39001.081300813006
linea-blanca,marcas,24600,0.004513,3463,556,0.14077235772357724,25,2300740,0.000975609756097561,92029.6
mujer,ofertas,24266,0.004452,5128,834,0.2113244869364543,41,665430,0.0016896068573312455,16230
deportes,hombre,22537,0.004135,7811,2109,0.34658561476682787,326,8096900,0.012912100102054399,24837.116564417178
decohogar,decoracion,22320,0.004095,7391,2109,0.3311379928315412,98,4604991,0.0038978494623655912,46989.704081632655
dormitorio,marcas,22022,0.00404,2580,311,0.11715557170102625,15,2499439,0.0006811370447734085,166629.26666666666
deportes,outdoor,21845,0.004008,5079,690,0.23250171663996339,41,1820510,0.00187685969329366,44402.68292682927
belleza,cuidado-capilar,21352,0.003917,5256,1675,0.24615961034095166,158,6531150,0.006837766953915324,41336.39240506329
hombre,accesorios,20995,0.003852,4906,732,0.23367468444867825,48,1065935,0.0021433674684448677,22206.979166666668
ninos,sin_path2,20783,0.003813,4012,1730,0.19304239041524324,173,3849340,0.008275994803445123,22250.52023121387
linea-blanca,cocina,20587,0.003777,4727,852,0.2296109195123136,69,18274280,0.0030116092679846507,264844.6376811594
hombre,ropa-interior,18463,0.003387,6331,2449,0.34290202025672967,325,5397983,0.01673617505280832,16609.17846153846
decohogar,menaje-mesa,17897,0.003283,6120,1758,0.3419567525283567,102,3686779,0.005419902777001732,36144.89215686275
tecnologia,impresoras,17239,0.003163,2747,335,0.15934799002262312,40,6513560,0.002320320204188178,162839
evento-marketplace-vestuario-outdoor-grandes-marcas,sin_path2,16201,0.002972,3803,332,0.2347385963829393,4,66950,0.0002468983396086661,16737.5
zapatos,summer-edition,15637,0.002869,3472,342,0.22203747521903178,18,682810,0.0011511159429558099,37933.88888888889
linea-blanca,sin_path2,15257,0.002799,4443,561,0.29121059185947434,30,4436550,0.0018352231762469686,147885
dormitorio,colchones,14878,0.002729,3941,857,0.2648877537303401,74,14196220,0.004906573464175292,191840.8108108108
electro,sin_path2,14612,0.002681,990,183,0.06775253216534355,25,7079730,0.0017109225294278676,283189.2
decohogar,sin_path2,13433,0.002464,3026,952,0.22526613563612,35,871676,0.0025310801756867414,24905.02857142857
outlet,outlet-muebles,13126,0.002408,2421,319,0.1844430900502819,6,1849930,0.0003809233582203261,308321.6666666667
belleza,ofertas,13070,0.002398,2091,442,0.15998469778117827,14,553010,0.0009946442234123947,39500.71428571428
evento-marketplace-levis,sin_path2,12682,0.002327,2699,259,0.21282132155811387,0,0,0,null
muebles,terrazas,12020,0.002205,3337,461,0.2776206322795341,16,3047830,0.0012479201331114808,190489.375
outlet,sin_path2,11421,0.002095,2784,956,0.24376149198844235,39,539690,0.0033272042728307505,13838.205128205129
categoria=zapzapurbanas&tipoproductoall=zapatillas urbanas&genero=mujeres,sin_path2,11199,0.002055,3906,686,0.34878114117331904,43,1990005,0.003750334851326011,46279.186046511626
moda-circular,marcas-destacadas,9856,0.001808,1560,55,0.15827922077922077,0,0,0,null
tecnologia,accesorios-computacion,9778,0.001794,1597,242,0.16332583350378402,17,1288500,0.0016363264471262017,75794.11764705883
belleza,cuidado-tratamiento,9665,0.001773,1815,701,0.18779099844800828,85,3608146,0.008380755302638387,42448.77647058824
decohogar,alfombras,9628,0.001766,3019,626,0.3135646032405484,14,1024820,0.0014540922309929372,73201.42857142857
zapatos,marcas-mujer,9094,0.001668,1926,224,0.2117879920826919,13,562339,0.0014295139652518143,43256.846153846156
linea-blanca,climatizacion,8877,0.001629,1837,244,0.20693928128872366,7,1349930,0.0007885546919004169,192847.14285714287
moda-circular,ropa-usada,8541,0.001567,1627,122,0.19049291652031378,4,101463,0.00035124692658939234,25365.75
ninos,zapatos,8354,0.001533,2861,605,0.34247067273162557,27,562673,0.0032319846779985634,20839.74074074074
muebles,oficina,8216,0.001507,2275,444,0.27689873417721517,21,1149790,0.0023125608568646543,54751.90476190476
outlet,outlet-ninos,8135,0.001492,2595,766,0.3189920098340504,35,395920,0.003933620159803319,11312
jugueteria,sin_path2,8053,0.001477,1165,358,0.1446665838817832,42,1226043,0.00496709300881659,29191.5
belleza,sin_path2,7802,0.001431,1763,481,0.22596770058959242,26,713057,0.0030761343245321714,27425.26923076923
linea-blanca,estufas,7731,0.001418,1686,288,0.21808304229724484,27,3716721,0.003363083689044108,137656.33333333334
deportes,fitness,7562,0.001387,1902,408,0.2515207617032531,20,3811560,0.002512562814070352,190578
evento-belleza-loreal-dl,sin_path2,7412,0.00136,612,62,0.08256880733944955,4,412650,0.0005396654074473826,103162.5
dormitorio,camas-europeas,6880,0.001262,2315,488,0.33648255813953487,38,12004600,0.005377906976744186,315910.5263157895
ninos,mundo-bebes,6746,0.001238,1412,393,0.20930922027868368,20,367059,0.0029647198339756895,18352.95
outlet,outlet-dormitorio,6640,0.001218,1635,390,0.24623493975903615,10,449421,0.0015060240963855422,44942.1
evento-moda-marcas-exclusivas,sin_path2,6450,0.001183,914,98,0.14170542635658914,4,151950,0.00062015503875969,37987.5
deportes,camping,6383,0.001171,1734,345,0.2716590944696851,15,486838,0.0021933260222465924,32455.866666666665
regalos,para-quien,6335,0.001162,875,160,0.13812154696132597,15,254110,0.0023677979479084454,16940.666666666668
decohogar,iluminacion,6301,0.001156,1826,390,0.2897952705919695,12,558538,0.0017457546421202983,46544.833333333336
linea-blanca,aspirado-limpieza,5856,0.001074,1976,425,0.337431693989071,69,8341230,0.011441256830601093,120887.39130434782
ninos,marcas,5803,0.001065,1561,449,0.2689987937273824,49,934770,0.00792693434430467,19076.938775510203
tecnologia,fotografia,5566,0.001021,981,67,0.17624865253323752,3,302970,0.0005389867049946101,100990
ninos,dormitorio-infantil,5557,0.001019,1751,300,0.3150980745006298,15,793959,0.00251934497030772,52930.6
deportes,movilidad-electrica,5487,0.001007,1281,53,0.2334609075997813,0,0,0,null
evento-zapato-dscto-zapatillas-black,sin_path2,5409,0.000992,764,84,0.1412460713625439,4,166960,0.0007395082270290257,41740
outlet,outlet-hombre,5387,0.000988,2056,442,0.3816595507703731,51,1014720,0.009095971783924262,19896.470588235294
decohogar,bano,5382,0.000987,1667,588,0.30973615756224454,49,1024160,0.008175399479747306,20901.224489795917
hombre,ofertas,5332,0.000978,941,118,0.17648162040510126,6,135390,0.0011252813203300824,22565
evento-belleza-dscto-perfumes-seleccionados,sin_path2,4579,0.00084,252,40,0.05503385018563005,3,126470,0.0006551648831622625,42156.666666666664
evento-muebles-ofertas-especiales,sin_path2,4542,0.000833,783,59,0.17239101717305153,0,0,0,null
hombre,novedades,4413,0.00081,1130,178,0.25606163607523225,8,264890,0.0015862225243598459,33111.25
evento-marketplace-equipamiento-fitness,sin_path2,4371,0.000802,331,14,0.07572637840311142,0,0,0,null
studio 95,sin_path2,4338,0.000796,620,31,0.1429230059935454,4,118960,0.0009220839096357768,29740
evento-moda-poleras-vestidos-faldas-y-shorts,sin_path2,4311,0.000791,977,115,0.22662955230804918,3,20960,0.0006958942240779402,6986.666666666667
iphone 16 pro max,sin_path2,4301,0.000789,277,7,0.0644036270634736,0,0,0,null
tecnologia,gamers,4270,0.000783,619,48,0.1449648711943794,4,373361,0.000936768149882904,93340.25
evento-moda-pijamas-mujer,sin_path2,4137,0.000759,792,106,0.19144307469180566,8,174430,0.0019337684312303602,21803.75
dormitorio,camas-funcionales,4120,0.000756,1123,174,0.2725728155339806,11,3759880,0.002669902912621359,341807.2727272727
evento-moda-jeans-pantalones-mujer,sin_path2,4066,0.000746,676,52,0.1662567634038367,1,27990,0.00024594195769798326,27990
ninos,mundo-bebe,4023,0.000738,1164,341,0.28933631618195377,14,723160,0.003479990057171265,51654.28571428572
jugueteria,novedades,3972,0.000729,409,81,0.10297079556898288,6,153890,0.0015105740181268882,25648.333333333332
evento-belleza-ofertas-carolina-herrera-rabanne,sin_path2,3961,0.000727,569,60,0.14365059328452412,4,340150,0.001009845998485231,85037.5
decohogar,maleteria,3949,0.000724,679,73,0.17194226386426945,9,697310,0.002279057989364396,77478.88888888889
mujer,novedades,3869,0.00071,1102,172,0.28482812096148874,10,185280,0.0025846471956577927,18528
ninos,coches,3825,0.000702,1233,175,0.32235294117647056,7,1051939,0.0018300653594771241,150277
jugueteria,didacticos-recreativos,3734,0.000685,931,284,0.2493304767005892,27,428924,0.006963042313872523,15886.074074074075
evento-moda-carteras-avance-temporada,sin_path2,3712,0.000681,494,58,0.13308189655172414,1,13990,0.00026939655172413793,13990
linea-blanca,maquinas-coser,3613,0.000663,617,82,0.17077221145862165,8,1069920,0.0022142264046498754,133740
evento-zapatos-distrito-zapatillas,sin_path2,3597,0.00066,542,33,0.15068112315818738,0,0,0,null
categoria=zapzapurbanas&tipoproductoall=zapatillas urbanas&genero=hombres,sin_path2,3584,0.000658,1187,216,0.33119419642857145,19,864770,0.005022321428571429,45514.21052631579
jugueteria,munecas-peluches,3518,0.000645,859,238,0.24417282546901647,21,444470,0.005969300739056282,21165.238095238095
ps5,sin_path2,3399,0.000624,129,11,0.03795233892321271,1,509990,0.0002942041776993233,509990
iphone 13,sin_path2,3336,0.000612,98,12,0.029376498800959234,0,0,0,null
muebles,espacios-reducidos,3283,0.000602,606,63,0.18458726774291806,0,0,0,null
outlet,outlet-tecno,3258,0.000598,303,25,0.09300184162062615,1,13990,0.0003069367710251688,13990
evento-dscto-todo-samsung-cupon,sin_path2,3196,0.000586,255,35,0.0797872340425532,1,269990,0.00031289111389236547,269990
tarjeta,sin_path2,3175,0.000582,4,0,0.0012598425196850393,0,0,0,null
deportes,zapatillas,3095,0.000568,583,69,0.18836833602584815,7,347420,0.002261712439418417,49631.42857142857
iphone 15 pro,sin_path2,3058,0.000561,161,2,0.052648790058862,0,0,0,null
outlet,outlet-belleza,2978,0.000546,401,108,0.13465413028878442,2,17490,0.000671591672263264,8745
decohogar,organizacion,2945,0.00054,878,273,0.29813242784380306,6,149490,0.0020373514431239388,24915
deportes,especificos,2921,0.000536,399,68,0.13659705580280726,4,56560,0.0013693940431359123,14140
vestidos de fiestas,sin_path2,2902,0.000532,52,0,0.01791867677463818,0,0,0,null
evento-dormitorio-dscto-sabanas,sin_path2,2877,0.000528,240,37,0.08342022940563086,2,57570,0.0006951685783802572,28785
electro,audio-hifi,2823,0.000518,517,22,0.18313850513637975,2,374283,0.0007084661707403471,187141.5
?showform=true&targeturl=https:,sin_path2,2795,0.000513,0,0,0,0,0,0,null
jugueteria,juguetes-por-edad,2785,0.000511,1095,390,0.39317773788150806,35,735320,0.012208258527827648,21009.14285714286
zapatos,marcas-hombre,2773,0.000509,667,47,0.24053371799495132,9,616380,0.0032455824017309774,68486.66666666667
tiendas-paris,sin_path2,2723,0.0005,51,0,0.01872934263679765,0,0,0,null
iphone 16,sin_path2,2720,0.000499,65,4,0.02389705882352941,0,0,0,null
linea-blanca,cuidado-personal,2577,0.000473,607,80,0.2355452076057431,1,79990,0.00038804811796662784,79990
belleza,sets-regalo,2561,0.00047,521,125,0.20343615775087856,12,418644,0.004295197188598204,34887
dormitorio,box-spring,2559,0.000469,278,27,0.10863618601016022,1,309990,0.00039077764751856197,309990
ninos,ofertas,2537,0.000465,854,238,0.3366180528182893,11,129600,0.0043358297201418995,11781.818181818182
evento-deporte-especial-marcas-seleccionadas,sin_path2,2461,0.000451,719,137,0.292157659488013,12,355340,0.004876066639577408,29611.666666666668
muebles,novedades,2385,0.000438,509,58,0.21341719077568133,5,553940,0.0020964360587002098,110788
productos similares,sin_path2,2355,0.000432,1,0,0.0004246284501061571,0,0,0,null
dormitorio,camas-americanas,2304,0.000423,377,48,0.1636284722222222,2,559980,0.0008680555555555555,279990
samsung s25 ultra,sin_path2,2303,0.000422,50,2,0.021710811984368215,0,0,0,null
belleza,novedades,2280,0.000418,512,178,0.22456140350877193,5,69730,0.0021929824561403508,13946
iphone 17 pro max,sin_path2,2267,0.000416,73,11,0.032201146890163214,2,2999980,0.000882223202470225,1499990
black-friday,sin_path2,2260,0.000415,42,0,0.018584070796460177,0,0,0,null
iphone 15,sin_path2,2246,0.000412,72,6,0.032056990204808546,1,629990,0.0004452359750667854,629990
outlet,outlet-deportes,2221,0.000407,424,64,0.19090499774876182,5,243950,0.0022512381809995496,48790
belleza,clinique,2156,0.000396,28,1,0.012987012987012988,0,0,0,null
ninos,novedades,2130,0.000391,352,66,0.1652582159624413,5,72940,0.0018779342723004694,14588
regalos,relacion,2115,0.000388,171,37,0.08085106382978724,3,106950,0.0014184397163120568,35650
outlet,outlet-linea-blanca,2107,0.000387,289,32,0.13716184148077837,1,113970,0.00047460844803037496,113970
tecno-circular,sin_path2,2056,0.000377,370,0,0.17996108949416342,0,0,0,null
categoria=zapzapoutdoor&tipoproductoall=zapatillas outdoor&genero=hombres,sin_path2,2003,0.000367,681,90,0.33999001497753367,7,408930,0.003494757863205192,58418.57142857143
evento-moda-prune,sin_path2,1969,0.000361,254,19,0.12899949212798376,1,36900,0.0005078720162519045,36900
ninos,dormitorio,1967,0.000361,234,62,0.11896288764616167,1,24990,0.0005083884087442806,24990
evento-dormitorio-guia-de-colchones,sin_path2,1913,0.000351,511,41,0.2671197072660742,0,0,0,null
electro,instrumentos-musicales,1899,0.000348,256,44,0.13480779357556608,5,48950,0.00210637177461822,9790
iphone 15 pro max,sin_path2,1870,0.000343,78,2,0.04171122994652406,0,0,0,null
iphone 16 pro,sin_path2,1869,0.000343,84,2,0.0449438202247191,0,0,0,null
decohogar,libreria,1866,0.000342,258,57,0.1382636655948553,6,50644,0.003215434083601286,8440.666666666666
evento-deporte-vestuario-fitness,sin_path2,1860,0.000341,413,60,0.22204301075268817,3,66330,0.0016129032258064516,22110
iphone 14,sin_path2,1788,0.000328,38,3,0.021252796420581657,0,0,0,null
jugueteria,autos-radiocontrolados,1776,0.000326,531,136,0.2989864864864865,18,378380,0.009572072072072071,21021.11111111111
evento-marketplace-lippi-y-haka-honu,sin_path2,1758,0.000323,406,33,0.23094425483503983,1,20490,0.0005688282138794084,20490
ninos,oportunidades,1740,0.000319,503,122,0.28908045977011493,5,421940,0.0022988505747126436,84388
outlet,outlet-electro,1697,0.000311,2,0,0.0011785503830288745,0,0,0,null
categoria=mujmoda&tipoproductoall=shorts,sin_path2,1689,0.00031,643,95,0.38069863824748373,8,163890,0.004736530491415038,20486.25
categoria=zapzapatillas&tipoproductoall=zapatillas básquetbol|zapatillas fútbol|zapatillas pádel|zapatillas running|zapatillas skate|zapatillas tenis|zapatillas training&genero=mujeres|unisex,sin_path2,1679,0.000308,648,135,0.38594401429422276,10,367890,0.005955926146515783,36789
tote,sin_path2,1649,0.000303,61,3,0.03699211643420255,0,0,0,null
regalos,edad,1647,0.000302,227,53,0.13782635094110504,1,11990,0.0006071645415907711,11990
evento-marketplace-calzado-skechers,sin_path2,1639,0.000301,362,18,0.22086638194020744,2,73980,0.0012202562538133007,36990
evento-marketplace-calzado-outdoor,sin_path2,1634,0.0003,303,11,0.1854345165238678,0,0,0,null
sostenibilidad,sin_path2,1596,0.000293,0,0,0,0,0,0,null
regalos,ocasion,1583,0.00029,164,43,0.10360075805432722,2,120980,0.0012634238787113076,60490
ninos,sillas,1579,0.00029,442,88,0.2799240025332489,7,949930,0.004433185560481318,135704.2857142857
macbook air,sin_path2,1560,0.000286,79,9,0.05064102564102564,0,0,0,null
tecnologia,smart-home,1534,0.000281,282,31,0.18383311603650587,5,400950,0.003259452411994785,80190
bubba,sin_path2,1484,0.000272,21,0,0.014150943396226415,0,0,0,null
mochilas,sin_path2,1477,0.000271,22,0,0.014895057549085985,0,0,0,null
evento-tecno-apple-tec,sin_path2,1441,0.000264,83,3,0.05759888965995836,0,0,0,null
regalos,sin_path2,1440,0.000264,214,60,0.1486111111111111,9,109049,0.00625,12116.555555555555
deportes,suplementos-deportivos,1415,0.00026,228,54,0.16113074204946998,3,108970,0.0014134275618374558,36323.333333333336
dormitorio,combos,1397,0.000256,240,37,0.1717967072297781,1,869990,0.0007158196134574087,869990
xbox series s,sin_path2,1389,0.000255,31,0,0.022318214542836574,0,0,0,null
apple watch,sin_path2,1384,0.000254,36,3,0.02601156069364162,0,0,0,null
outlet,outlet-juguetes,1375,0.000252,311,78,0.22618181818181818,5,49050,0.0036363636363636364,9810
samsung s24,sin_path2,1360,0.000249,30,0,0.022058823529411766,0,0,0,null
samsung galaxy s24 ultra,sin_path2,1354,0.000248,20,0,0.014771048744460856,0,0,0,null
samsung s25,sin_path2,1331,0.000244,40,3,0.03005259203606311,0,0,0,null
samsung s23,sin_path2,1323,0.000243,20,1,0.015117157974300832,0,0,0,null
iphone 17,sin_path2,1322,0.000243,33,2,0.024962178517397883,0,0,0,null
deportes,aire-libre,1320,0.000242,249,33,0.18863636363636363,2,59980,0.0015151515151515152,29990
prune,sin_path2,1282,0.000235,62,5,0.0483619344773791,0,0,0,null
jugueteria,figuras-juegos-accion,1246,0.000229,229,35,0.18378812199036917,4,55860,0.0032102728731942215,13965
cupones-de-descuento,sin_path2,1242,0.000228,22,0,0.017713365539452495,0,0,0,null
decohogar,mascotas,1219,0.000224,263,63,0.21575061525840852,4,101940,0.003281378178835111,25485
evento-tecno-circular-asus,sin_path2,1176,0.000216,235,15,0.19982993197278912,0,0,0,null
iphone 17 pro,sin_path2,1175,0.000216,43,8,0.03659574468085106,0,0,0,null
blazers mujer,sin_path2,1165,0.000214,33,1,0.02832618025751073,0,0,0,null
deco,vinos-y-gourmet,1164,0.000214,201,80,0.17268041237113402,11,562843,0.00859106529209622,51167.545454545456
samsung s26,sin_path2,1153,0.000212,15,1,0.013009540329575022,0,0,0,null
sostenibilidad,iniciativas,1148,0.000211,7,0,0.006097560975609756,0,0,0,null
belleza,cuidado-personal-hombre,1147,0.00021,66,9,0.05754141238012206,3,82120,0.0026155187445510027,27373.333333333332
evento-moda-flores,sin_path2,1133,0.000208,338,68,0.29832303618711387,3,31170,0.00264783759929391,10390
jugueteria,marcas,1124,0.000206,149,37,0.13256227758007116,3,65960,0.0026690391459074734,21986.666666666668
decohogar,toallas-playa,1097,0.000201,244,54,0.22242479489516864,5,42120,0.004557885141294439,8424
conciencia-celeste,proyectos,1095,0.000201,137,16,0.12511415525114156,0,0,0,null
impermeable mujer,sin_path2,1092,0.0002,40,1,0.03663003663003663,0,0,0,null
parka impermeable mujer,sin_path2,1089,0.0002,29,2,0.02662993572084481,0,0,0,null
jardinterraza,parrillas,1085,0.000199,185,30,0.17050691244239632,1,349990,0.0009216589861751152,349990
tecno,audio,1084,0.000199,77,12,0.07103321033210332,2,25980,0.0018450184501845018,12990
categoria=zapzapatillas&tipoproductoall=zapatillas básquetbol|zapatillas fútbol|zapatillas pádel|zapatillas running|zapatillas skate|zapatillas tenis|zapatillas training&genero=hombres|unisex,sin_path2,1082,0.000198,385,88,0.355822550831793,10,370880,0.009242144177449169,37088
muebles,dormitorio,1068,0.000196,298,24,0.27902621722846443,1,39990,0.0009363295880149813,39990
deportes,ofertas,1056,0.000194,124,10,0.11742424242424243,2,45950,0.001893939393939394,22975
categoria=zapzapoutdoor&tipoproductoall=zapatillas outdoor&genero=mujeres,sin_path2,1050,0.000193,336,64,0.32,3,166472,0.002857142857142857,55490.666666666664
ferreteria,ropa-de-trabajo-proteccion,1049,0.000192,286,33,0.2726406101048618,2,118430,0.0019065776930409914,59215
evento-moda-chalecos-y-sweaters,sin_path2,1036,0.00019,224,21,0.21621621621621623,0,0,0,null
buzos mujer,sin_path2,1021,0.000187,21,3,0.02056807051909892,0,0,0,null
deportes,ninos,1019,0.000187,145,20,0.1422963689892051,1,42990,0.0009813542688910696,42990
kindle,sin_path2,1016,0.000186,28,4,0.027559055118110236,0,0,0,null
chaqueta de cuero hombre,sin_path2,1013,0.000186,39,1,0.0384995064165844,0,0,0,null
vulcan feu,sin_path2,1006,0.000185,23,2,0.02286282306163022,0,0,0,null
evento-deporte-vestuario-deportivo-grandes-marcas,sin_path2,1000,0.000183,214,31,0.214,0,0,0,null
botas vaqueras mujer,sin_path2,996,0.000183,29,0,0.029116465863453816,0,0,0,null
alexa,sin_path2,995,0.000183,15,3,0.01507537688442211,1,45990,0.0010050251256281408,45990
cyberday,sin_path2,991,0.000182,50,0,0.050454086781029264,0,0,0,null
nintendo switch 2,sin_path2,979,0.00018,23,5,0.02349336057201226,0,0,0,null
hombre,cuidado-personal,976,0.000179,167,22,0.1711065573770492,3,74440,0.0030737704918032786,24813.333333333332
categoria=zapzapoutdoor&genero=niño&niña&niñas y niños,sin_path2,965,0.000177,305,37,0.3160621761658031,0,0,0,null
kiko milano,sin_path2,963,0.000177,19,0,0.01973001038421599,0,0,0,null
evento-belleza-ofertas-dermocosmetica,sin_path2,961,0.000176,82,20,0.08532778355879292,2,34050,0.002081165452653486,17025
mango,sin_path2,951,0.000174,6,1,0.006309148264984227,0,0,0,null
outlet,outlet-jardin-y-terraza,941,0.000173,161,27,0.17109458023379384,1,199990,0.0010626992561105207,199990
controles ps4,sin_path2,938,0.000172,28,2,0.029850746268656716,0,0,0,null
belleza,wellness,934,0.000171,116,18,0.12419700214132762,0,0,0,null
online,sin_path2,926,0.00017,3,0,0.0032397408207343412,0,0,0,null
automotriz,accesorios-para-autos,918,0.000168,261,24,0.28431372549019607,1,59900,0.0010893246187363835,59900
